domain,company_name,health_score,verdict,sector,total_signals,it_infrastructure_score,it_infrastructure_tier,it_infrastructure_budget,it_infrastructure_signals,engineering_product_score,engineering_product_tier,engineering_signals,sales_marketing_score,sales_marketing_tier,sales_marketing_signals,legal_compliance_score,legal_compliance_tier,legal_signals,hr_hiring_score,hr_hiring_signals,finance_revops_score,telecom_remote_score,corporate_dev_score,last_checked,trace_url
micron.com,Micron Technology Inc,95,at_risk,general,21,99,Enterprise,Active,Verified SaaS Tooling | DMARC Fully Enforced | Business Email Provider,88,Enterprise,Moderate Infrastructure Footprint,94,Enterprise,IPO Signal (External Intel) | Active Advertising | Government Contracts (USAspending) | SEC Public Filer,99,Enterprise,Verified Vendor Spend | Active H-1B Filer | Trust Page Present,95,Excellent Job Quality | Active Job Board | Healthy Description Quality,,,,2026-03-25,https://www.thesubspace.io/trace?domain=micron.com
docker.com,Docker,93,at_risk,cloud_infra,26,100,Enterprise,Active,Verified SaaS Tooling | Enterprise CDN/WAF | High Publish Velocity | DMARC Quarantine | Business Email Provider,100,Enterprise,High Shipping Velocity | App Recently Updated | Mature Engineering Infrastructure | Moderate Infrastructure Footprint | Public Status Page Active,78,Enterprise,Recent Funding (External Intel) | ⚠ Funding Velocity | Active Advertising | Government Contracts (USAspending) | SEC Form D (Private Fundraising),98,Enterprise,Verified Vendor Spend | Trust Page Present | Active H-1B Filer,94,Good Job Quality | Active Job Board | Healthy Description Quality,,,,2026-03-25,https://www.thesubspace.io/trace?domain=docker.com
comcast.com,Comcast,92,actively_hiring,general,27,88,Enterprise,Active,Verified SaaS Tooling | Enterprise Email Gateway | DMARC Fully Enforced | Enterprise Email Security Gateway | ⚠ Package Registry Stale,88,Enterprise,App Recently Updated | Moderate Infrastructure Footprint,95,Enterprise,Government Contracts (USAspending) | Stable URL Structure | SEC Public Filer | GitHub Activity,79,Enterprise,Active H-1B Filer,95,Excellent Job Quality | Active Job Board | Healthy Description Quality,,100,100,2026-03-25,https://www.thesubspace.io/trace?domain=comcast.com
mfs.com,MFS Charter Income Trust,90,at_risk,general,23,99,Enterprise,Active,Verified SaaS Tooling | Enterprise Email Gateway | DMARC Fully Enforced | Enterprise CDN/WAF,50,Growth,—,88,Enterprise,Recent Funding (External Intel) | Government Contracts (USAspending) | Funding Velocity,73,Growth,Trust Page Present,96,Excellent Job Quality | Salary Transparent | Active Job Board | Healthy Description Quality,,,,2026-03-25,https://www.thesubspace.io/trace?domain=mfs.com
visa.com,Visa,89,at_risk,big_tech,17,96,Enterprise,Active,Verified SaaS Tooling | DMARC Quarantine | Modern CDN | Web Application Firewall,88,Enterprise,Moderate Infrastructure Footprint,50,Growth,—,75,Enterprise,Trust Page Present,95,Excellent Job Quality | Active Job Board | Healthy Description Quality,,,,2026-03-25,https://www.thesubspace.io/trace?domain=visa.com
astrazeneca.com,AstraZeneca PLC,88,at_risk,general,21,82,Enterprise,Active,Verified SaaS Tooling | Enterprise Email Gateway | Enterprise CDN/WAF | ⚠ Package Registry Stale,88,Enterprise,Moderate Infrastructure Footprint,80,Enterprise,Government Contracts (USAspending) | GitHub Activity,88,Enterprise,Verified Vendor Spend,95,Excellent Job Quality | Active Job Board | Healthy Description Quality,,,,2026-03-25,https://www.thesubspace.io/trace?domain=astrazeneca.com
novartis.com,Novartis AG,88,at_risk,general,22,99,Enterprise,Active,Verified SaaS Tooling | Enterprise Email Gateway | DMARC Fully Enforced | Enterprise CDN/WAF | Web Application Firewall,19,Inactive,⚠ App Abandoned,91,Enterprise,Active Advertising | Government Contracts (USAspending) | GitHub Activity,50,Growth,—,94,Good Job Quality | Active Job Board | Healthy Description Quality,,,,2026-03-25,https://www.thesubspace.io/trace?domain=novartis.com
smartnews.com,SmartNews,87,at_risk,general,17,100,Enterprise,Active,Verified SaaS Tooling | Enterprise CDN/WAF | DMARC Quarantine | Business Email Provider,98,Enterprise,Rich Internal Infrastructure | App Recently Updated | Mature Engineering Infrastructure | SSO Infrastructure Detected | Public Status Page Active,95,Enterprise,IPO Signal (External Intel) | Active Advertising,98,Enterprise,Verified Vendor Spend | Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=smartnews.com
konghq.com,Kong,87,at_risk,cloud_infra,17,100,Enterprise,Active,Verified SaaS Tooling | Enterprise CDN/WAF | DMARC Quarantine | Business Email Provider,98,Enterprise,Actively Shipping | Moderate Infrastructure Footprint | Public Status Page Active,97,Enterprise,Premium SaaS Stack | IPO Signal (External Intel) | Active Advertising,99,Enterprise,Verified Vendor Spend | Comprehensive Trust Center | SOC 2 Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=konghq.com
coderabbit.ai,Coderabbit,87,at_risk,general,18,100,Enterprise,Active,Verified SaaS Tooling | DMARC Fully Enforced | Modern CDN | Business Email Provider,93,Enterprise,Moderate Infrastructure Footprint | Public Status Page Active,100,Enterprise,Recent Funding (External Intel) | Active Advertising | Funding Velocity | SEC Form D (Private Fundraising) | Growth Analytics Stack,99,Enterprise,Verified Vendor Spend | Comprehensive Trust Center | SOC 2 Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=coderabbit.ai
confluent.io,Confluent,86,at_risk,cloud_infra,15,100,Enterprise,Active,Verified SaaS Tooling | DMARC Fully Enforced | Modern CDN | Business Email Provider,96,Enterprise,Rich Internal Infrastructure | App Recently Updated,100,Enterprise,Premium SaaS Stack | Enterprise Analytics Stack | Active Advertising | Stock Data (CFLT),90,Enterprise,Verified Vendor Spend,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=confluent.io
lifemd.com,LifeMD Inc,86,at_risk,general,16,100,Enterprise,Active,Verified SaaS Tooling | DMARC Quarantine | Modern CDN | Business Email Provider | Web Application Firewall,92,Enterprise,App Recently Updated | Moderate Infrastructure Footprint,100,Enterprise,Recent Funding (External Intel) | Active Advertising | Funding Velocity | Growth Analytics Stack,98,Enterprise,Verified Vendor Spend | Basic Trust Center,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=lifemd.com
benefitcosmetics.com,Benefit Cosmetics,86,actively_hiring,general,19,100,Enterprise,Active,Verified SaaS Tooling | Enterprise Email Gateway | DMARC Fully Enforced | Enterprise Email Security Gateway | Fast TTFB,90,Enterprise,Rich Internal Infrastructure | App Recently Updated,73,Growth,Stable URL Structure,90,Enterprise,Verified Vendor Spend,50,—,,100,100,2026-03-25,https://www.thesubspace.io/trace?domain=benefitcosmetics.com
